Innings1_BattingTeam,Sum of innings1_runs,Venue
Kolkata Knight Riders,1306,"Eden Gardens, Kolkata"
Royal Challengers Bangalore,1191,M Chinnaswamy Stadium
Mumbai Indians,1190,"Wankhede Stadium, Mumbai"
Chennai Super Kings,1004,"MA Chidambaram Stadium, Chepauk, Chennai"
Delhi Capitals,851,Feroz Shah Kotla
Punjab Kings,839,"Wankhede Stadium, Mumbai"
Sunrisers Hyderabad,784,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,723,Sawai Mansingh Stadium
Punjab Kings,543,M Chinnaswamy Stadium
Punjab Kings,536,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,508,"MA Chidambaram Stadium, Chepauk, Chennai"
Rajasthan Royals,441,"Eden Gardens, Kolkata"
Rajasthan Royals,441,"Wankhede Stadium, Mumbai"
Punjab Kings,437,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Chennai Super Kings,436,"Wankhede Stadium, Mumbai"
Royal Challengers Bangalore,428,Dubai International Cricket Stadium
Mumbai Indians,426,"Rajiv Gandhi International Stadium, Uppal"
Delhi Capitals,424,"Arun Jaitley Stadium, Delhi"
Royal Challengers Bangalore,390,"Wankhede Stadium, Mumbai"
Mumbai Indians,386,"MA Chidambaram Stadium, Chepauk, Chennai"
Deccan Chargers,382,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,380,"Brabourne Stadium, Mumbai"
Kolkata Knight Riders,379,M Chinnaswamy Stadium
Sunrisers Hyderabad,362,"Wankhede Stadium, Mumbai"
Sunrisers Hyderabad,357,M Chinnaswamy Stadium
Kolkata Knight Riders,352,"Wankhede Stadium, Mumbai"
Delhi Capitals,340,"Eden Gardens, Kolkata"
Chennai Super Kings,334,"Eden Gardens, Kolkata"
Chennai Super Kings,324,"Maharashtra Cricket Association Stadium, Pune"
Delhi Capitals,323,Dubai International Cricket Stadium
Mumbai Indians,321,"Eden Gardens, Kolkata"
Mumbai Indians,319,Sawai Mansingh Stadium
Kolkata Knight Riders,306,"MA Chidambaram Stadium, Chepauk, Chennai"
Chennai Super Kings,293,Feroz Shah Kotla
Punjab Kings,293,"Brabourne Stadium, Mumbai"
Royal Challengers Bangalore,288,"Eden Gardens, Kolkata"
Delhi Capitals,276,Sharjah Cricket Stadium
Mumbai Indians,274,"Dr DY Patil Sports Academy, Mumbai"
Delhi Capitals,272,"Rajiv Gandhi International Stadium, Uppal"
Kolkata Knight Riders,271,Dubai International Cricket Stadium
Kolkata Knight Riders,270,Feroz Shah Kotla
Rajasthan Royals,263,"Sardar Patel Stadium, Motera"
Chennai Super Kings,258,Sawai Mansingh Stadium
Chennai Super Kings,256,Dubai International Cricket Stadium
Chennai Super Kings,254,"Dr DY Patil Sports Academy, Mumbai"
Kolkata Knight Riders,249,Sheikh Zayed Stadium
Delhi Capitals,242,"Wankhede Stadium, Mumbai"
Rajasthan Royals,242,Sharjah Cricket Stadium
Chennai Super Kings,239,"Rajiv Gandhi International Stadium, Uppal"
Delhi Capitals,238,"Punjab Cricket Association Stadium, Mohali"
Deccan Chargers,233,Feroz Shah Kotla
Mumbai Indians,232,Dubai International Cricket Stadium
Sunrisers Hyderabad,228,"Eden Gardens, Kolkata"
Rajasthan Royals,226,M Chinnaswamy Stadium
Mumbai Indians,223,Feroz Shah Kotla
Sunrisers Hyderabad,221,Dubai International Cricket Stadium
Punjab Kings,220,Himachal Pradesh Cricket Association Stadium
Sunrisers Hyderabad,214,Feroz Shah Kotla
Royal Challengers Bangalore,212,Subrata Roy Sahara Stadium
Mumbai Indians,210,Sheikh Zayed Stadium
Sunrisers Hyderabad,210,Sharjah Cricket Stadium
Kolkata Knight Riders,207,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,203,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Punjab Kings,203,Feroz Shah Kotla
Mumbai Indians,196,M Chinnaswamy Stadium
Rajasthan Royals,194,"Maharashtra Cricket Association Stadium, Pune"
Royal Challengers Bangalore,193,"Maharashtra Cricket Association Stadium, Pune"
Chennai Super Kings,192,M Chinnaswamy Stadium
Pune Team,192,M Chinnaswamy Stadium
Chennai Super Kings,191,Sheikh Zayed Stadium
Punjab Kings,191,"MA Chidambaram Stadium, Chepauk, Chennai"
Gujarat Titans,185,Saurashtra Cricket Association Stadium
Punjab Kings,185,"Maharashtra Cricket Association Stadium, Pune"
Royal Challengers Bangalore,184,Sheikh Zayed Stadium
Gujarat Titans,182,"Dr DY Patil Sports Academy, Mumbai"
Sunrisers Hyderabad,182,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Pune Team,179,"Maharashtra Cricket Association Stadium, Pune"
Punjab Kings,179,"Eden Gardens, Kolkata"
Rajasthan Royals,179,"Dr DY Patil Sports Academy, Mumbai"
Rajasthan Royals,177,"Brabourne Stadium, Mumbai"
Mumbai Indians,176,"Maharashtra Cricket Association Stadium, Pune"
Pune Team,175,Saurashtra Cricket Association Stadium
Mumbai Indians,174,"Zayed Cricket Stadium, Abu Dhabi"
Punjab Kings,172,Dubai International Cricket Stadium
Sunrisers Hyderabad,169,"MA Chidambaram Stadium, Chepauk, Chennai"
Gujarat Titans,167,Feroz Shah Kotla
Mumbai Indians,167,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,164,Kingsmead
Royal Challengers Bangalore,160,Sharjah Cricket Stadium
Royal Challengers Bangalore,158,Sawai Mansingh Stadium
Delhi Capitals,154,Sheikh Zayed Stadium
Chennai Super Kings,151,SuperSport Park
Punjab Kings,149,Sharjah Cricket Stadium
Chennai Super Kings,148,"Brabourne Stadium, Mumbai"
Royal Challengers Bangalore,148,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Kolkata Knight Riders,146,"Dr DY Patil Sports Academy, Mumbai"
Delhi Capitals,145,M Chinnaswamy Stadium
Rajasthan Royals,145,Kingsmead
Royal Challengers Bangalore,145,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,144,Sharjah Cricket Stadium
Punjab Kings,142,Holkar Cricket Stadium
Punjab Kings,140,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Punjab Kings,138,Sawai Mansingh Stadium
Gujarat Titans,134,"Maharashtra Cricket Association Stadium, Pune"
Delhi Capitals,132,"MA Chidambaram Stadium, Chepauk, Chennai"
Sunrisers Hyderabad,132,"Brabourne Stadium, Mumbai"
Pune Team,131,"Dr DY Patil Sports Academy, Mumbai"
Chennai Super Kings,126,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,126,Sharjah Cricket Stadium
Rajasthan Royals,126,Feroz Shah Kotla
Kolkata Knight Riders,125,Subrata Roy Sahara Stadium
Punjab Kings,125,"Narendra Modi Stadium, Ahmedabad"
Rajasthan Royals,124,"Rajiv Gandhi International Stadium, Uppal"
Deccan Chargers,122,Sawai Mansingh Stadium
Chennai Super Kings,121,St George's Park
Lucknow Super Giants,121,"Wankhede Stadium, Mumbai"
Rajasthan Royals,119,"Arun Jaitley Stadium, Delhi"
Delhi Capitals,118,"Brabourne Stadium, Mumbai"
Delhi Capitals,115,Kingsmead
Pune Team,115,"Punjab Cricket Association Stadium, Mohali"
Deccan Chargers,114,"Punjab Cricket Association Stadium, Mohali"
Deccan Chargers,113,"MA Chidambaram Stadium, Chepauk, Chennai"
Kolkata Knight Riders,112,"Punjab Cricket Association Stadium, Mohali"
Delhi Capitals,111,"Dr DY Patil Sports Academy, Mumbai"
Gujarat Titans,111,Green Park
Pune Team,111,"Wankhede Stadium, Mumbai"
Punjab Kings,111,Sheikh Zayed Stadium
Delhi Capitals,109,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Pune Team,109,Sawai Mansingh Stadium
Sunrisers Hyderabad,109,Sheikh Zayed Stadium
Rajasthan Royals,108,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,107,St George's Park
Lucknow Super Giants,105,"Maharashtra Cricket Association Stadium, Pune"
Sunrisers Hyderabad,102,"Punjab Cricket Association Stadium, Mohali"
Punjab Kings,101,"Arun Jaitley Stadium, Delhi"
Royal Challengers Bangalore,100,Feroz Shah Kotla
Royal Challengers Bangalore,100,Himachal Pradesh Cricket Association Stadium
Kolkata Knight Riders,99,Kingsmead
Rajasthan Royals,99,Sheikh Zayed Stadium
Pune Team,98,Subrata Roy Sahara Stadium
Deccan Chargers,96,"Eden Gardens, Kolkata"
Kochi Tuskers Kerala,96,Nehru Stadium
Rajasthan Royals,96,Dubai International Cricket Stadium
Royal Challengers Bangalore,95,Saurashtra Cricket Association Stadium
Deccan Chargers,94,De Beers Diamond Oval
Delhi Capitals,91,SuperSport Park
Pune Team,91,"MA Chidambaram Stadium, Chepauk, Chennai"
Chennai Super Kings,90,JSCA International Stadium Complex
Rajasthan Royals,90,"MA Chidambaram Stadium, Chepauk, Chennai"
Deccan Chargers,89,M Chinnaswamy Stadium
Royal Challengers Bangalore,88,"Dr DY Patil Sports Academy, Mumbai"
Sunrisers Hyderabad,87,Shaheed Veer Narayan Singh International Stadium
Gujarat Titans,84,"Wankhede Stadium, Mumbai"
Punjab Kings,84,"Dr DY Patil Sports Academy, Mumbai"
Punjab Kings,82,"Rajiv Gandhi International Stadium, Uppal"
Royal Challengers Bangalore,82,"Narendra Modi Stadium, Ahmedabad"
Delhi Capitals,81,Barabati Stadium
Delhi Capitals,80,Shaheed Veer Narayan Singh International Stadium
Delhi Capitals,79,"Sardar Patel Stadium, Motera"
Delhi Capitals,79,Subrata Roy Sahara Stadium
Kolkata Knight Riders,79,"Brabourne Stadium, Mumbai"
Delhi Capitals,78,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Rajasthan Royals,77,Holkar Cricket Stadium
Lucknow Super Giants,76,"Dr DY Patil Sports Academy, Mumbai"
Sunrisers Hyderabad,76,"Zayed Cricket Stadium, Abu Dhabi"
Deccan Chargers,74,SuperSport Park
Mumbai Indians,74,New Wanderers Stadium
Royal Challengers Bangalore,74,"Brabourne Stadium, Mumbai"
Royal Challengers Bangalore,74,Newlands
Sunrisers Hyderabad,74,"Maharashtra Cricket Association Stadium, Pune"
Delhi Capitals,73,OUTsurance Oval
Mumbai Indians,73,"Sardar Patel Stadium, Motera"
Punjab Kings,72,Kingsmead
Deccan Chargers,70,New Wanderers Stadium
Pune Team,70,"Rajiv Gandhi International Stadium, Uppal"
Punjab Kings,67,Newlands
Gujarat Titans,66,"Rajiv Gandhi International Stadium, Uppal"
Deccan Chargers,62,Newlands
Delhi Capitals,62,"Maharashtra Cricket Association Stadium, Pune"
Kochi Tuskers Kerala,62,Holkar Cricket Stadium
Royal Challengers Bangalore,62,SuperSport Park
Kolkata Knight Riders,59,Holkar Cricket Stadium
Kolkata Knight Riders,59,St George's Park
Deccan Chargers,58,Himachal Pradesh Cricket Association Stadium
Lucknow Super Giants,57,"Brabourne Stadium, Mumbai"
Mumbai Indians,57,"Arun Jaitley Stadium, Delhi"
Rajasthan Royals,56,"Zayed Cricket Stadium, Abu Dhabi"
Chennai Super Kings,55,"Vidarbha Cricket Association Stadium, Jamtha"
Deccan Chargers,55,"Brabourne Stadium, Mumbai"
Deccan Chargers,55,Kingsmead
Kolkata Knight Riders,55,"Maharashtra Cricket Association Stadium, Pune"
Rajasthan Royals,54,Newlands
Chennai Super Kings,53,Buffalo Park
Chennai Super Kings,52,New Wanderers Stadium
Chennai Super Kings,52,Shaheed Veer Narayan Singh International Stadium
Pune Team,52,Barabati Stadium
Punjab Kings,51,SuperSport Park
Royal Challengers Bangalore,51,JSCA International Stadium Complex
Sunrisers Hyderabad,51,Sawai Mansingh Stadium
Deccan Chargers,50,Subrata Roy Sahara Stadium
Kolkata Knight Riders,50,"Sardar Patel Stadium, Motera"
Punjab Kings,50,Saurashtra Cricket Association Stadium
Sunrisers Hyderabad,50,"Sardar Patel Stadium, Motera"
Chennai Super Kings,49,"Arun Jaitley Stadium, Delhi"
Kochi Tuskers Kerala,49,M Chinnaswamy Stadium
Kolkata Knight Riders,49,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Mumbai Indians,49,Green Park
Pune Team,49,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Royal Challengers Bangalore,49,Kingsmead
Delhi Capitals,48,Sawai Mansingh Stadium
Pune Team,48,Feroz Shah Kotla
Rajasthan Royals,48,"Vidarbha Cricket Association Stadium, Jamtha"
Deccan Chargers,47,Barabati Stadium
Deccan Chargers,47,"Dr DY Patil Sports Academy, Mumbai"
Deccan Chargers,45,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Kochi Tuskers Kerala,45,"Wankhede Stadium, Mumbai"
Kolkata Knight Riders,45,JSCA International Stadium Complex
Kolkata Knight Riders,45,"Narendra Modi Stadium, Ahmedabad"
Chennai Super Kings,44,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Kolkata Knight Riders,44,Green Park
Punjab Kings,44,Subrata Roy Sahara Stadium
Rajasthan Royals,44,"Narendra Modi Stadium, Ahmedabad"
Chennai Super Kings,43,Barabati Stadium
Kolkata Knight Riders,43,Sawai Mansingh Stadium
Chennai Super Kings,42,Nehru Stadium
Rajasthan Royals,42,JSCA International Stadium Complex
Mumbai Indians,41,Subrata Roy Sahara Stadium
Sunrisers Hyderabad,41,JSCA International Stadium Complex
Mumbai Indians,40,Kingsmead
Mumbai Indians,40,Newlands
Punjab Kings,40,Nehru Stadium
Chennai Super Kings,39,"Sardar Patel Stadium, Motera"
Punjab Kings,39,New Wanderers Stadium
Sunrisers Hyderabad,39,"Arun Jaitley Stadium, Delhi"
Kolkata Knight Riders,38,SuperSport Park
Punjab Kings,38,St George's Park
Punjab Kings,38,"Zayed Cricket Stadium, Abu Dhabi"
Royal Challengers Bangalore,38,Buffalo Park
Delhi Capitals,37,New Wanderers Stadium
Kochi Tuskers Kerala,37,"Dr DY Patil Sports Academy, Mumbai"
Kolkata Knight Riders,37,New Wanderers Stadium
Mumbai Indians,37,Barabati Stadium
Pune Team,37,Nehru Stadium
Kolkata Knight Riders,36,"Arun Jaitley Stadium, Delhi"
Deccan Chargers,35,"Vidarbha Cricket Association Stadium, Jamtha"
Pune Team,35,Holkar Cricket Stadium
Rajasthan Royals,34,De Beers Diamond Oval
Rajasthan Royals,34,Subrata Roy Sahara Stadium
Pune Team,33,"Eden Gardens, Kolkata"
Kochi Tuskers Kerala,32,Sawai Mansingh Stadium
Royal Challengers Bangalore,31,Barabati Stadium
Chennai Super Kings,30,"Zayed Cricket Stadium, Abu Dhabi"
Mumbai Indians,30,Buffalo Park
Mumbai Indians,30,SuperSport Park
Sunrisers Hyderabad,27,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Chennai Super Kings,24,Sharjah Cricket Stadium
Gujarat Titans,23,M Chinnaswamy Stadium
Royal Challengers Bangalore,23,Holkar Cricket Stadium
Kolkata Knight Riders,21,Newlands
Mumbai Indians,21,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
